MM,gdp_m
2012-06,18.553169757782754
2012-07,18.663874443892755
2012-08,18.599828783640827
2012-09,18.69729677246642
2012-10,18.745133424412252
2012-11,18.850236280835475
2012-12,18.757630294752275
2013-01,18.830725144209083
2013-02,19.091626567869113
2013-03,18.881648287921802
2013-04,19.07356869380868
2013-05,19.18990850981799
2013-06,19.16552279637333
2013-07,19.171905895178853
2013-08,19.419192659415643
2013-09,19.4119014454055
2013-10,19.581772573463976
2013-11,19.607287657605927
2013-12,19.335939768930096
2014-01,19.723560407546284
2014-02,19.597183429907677
2014-03,19.672256162546038
2014-04,19.66693836063195
2014-05,19.856342129500245
2014-06,20.000719509867803
2014-07,19.923294327201077
2014-08,19.951903331484544
2014-09,19.827802341314385
2014-10,20.026498683340407
2014-11,20.062157197822685
2014-12,19.912344118836902
2015-01,19.99040749856928
2015-02,20.298643765661115
2015-03,20.251948735769606
2015-04,20.371050539611552
2015-05,20.237238887574
2015-06,20.175710572814445
2015-07,20.42612334044938
2015-08,20.609431022759935
2015-09,20.659445636790686
2015-10,20.70646619861289
2015-11,20.610682078278483
2015-12,20.87185172310863
2016-01,20.598762046441358
2016-02,20.876142259912776
2016-03,20.96309569364587
2016-04,21.055664004550373
2016-05,21.061127671442648
2016-06,21.13220832400698
2016-07,21.050520448283965
2016-08,21.22625438675397
2016-09,21.22522516496207
2016-10,21.220041530390443
2016-11,21.294752098568043
2016-12,21.495206371041522
2017-01,21.511993715581795
2017-02,21.52744013460655
2017-03,21.674566149811653
2017-04,21.664834315340755
2017-05,21.7054705461196
2017-06,21.796695138539643
2017-07,21.783494018239473
2017-08,22.051548616756044
2017-09,22.244957365004485
2017-10,21.874579035725503
2017-11,22.04608985099776
2017-12,22.027331113276734
2018-01,22.128950394058798
2018-02,22.436915795488943
2018-03,22.371133810452257
2018-04,22.489074012614267
2018-05,22.452747064408552
2018-06,22.53017892297718
2018-07,22.54263906179742
2018-08,22.59684343724002
2018-09,22.670517500962557
2018-10,22.83128633319165
2018-11,22.683903160784247
2018-12,22.701810506024103
2019-01,22.929739278473665
2019-02,22.534500270898246
2019-03,22.820760450628086
2019-04,23.115127528094053
2019-05,23.20243852618803
2019-06,22.854433945717915
2019-07,23.002897414024517
2019-08,23.27852406076731
2019-09,23.029578525208176
2019-10,23.180552124571122
2019-11,23.390771229872875
2019-12,23.432676645556008
2020-01,23.96454857552753
2020-02,23.143290324189834
2020-03,21.986161100282626
2020-04,21.99338401882812
2020-05,22.501775378802183
2020-06,22.73284060236969
2020-07,22.982960166001916
2020-08,22.870338610584568
2020-09,22.853701223413506
2020-10,23.208579648376425
2020-11,23.4578771957238
2020-12,23.14054315589978
2021-01,23.245295399226354
2021-02,23.627474202971957
2021-03,23.98123039780169
2021-04,23.93176590806914
2021-05,23.91452034536634
2021-06,23.999713746564524
2021-07,23.96038610980184
2021-08,23.81053444730788
2021-09,24.07507944289028
2021-10,24.112313561684626
2021-11,24.499620148863034
2021-12,24.383066289452348
2022-01,24.643632247355814
2022-02,24.173888811578347
2022-03,24.469478941065848
2022-04,24.701343770700937
2022-05,24.640259491508004
2022-06,24.60539673779106
2022-07,24.621385803796095
2022-08,24.86918917301699
2022-09,24.826425023186907
2022-10,24.689843714992428
2022-11,24.621588844914207
2022-12,24.707567440093374
2023-01,24.495058176806612
2023-02,24.956660183605262
2023-03,24.863281639588124
2023-04,24.79704997289899
2023-05,24.92955887379936
2023-06,25.10939115330165
2023-07,25.05557705280239
2023-08,25.141281990428354
2023-09,25.237140956769252
2023-10,25.106477280365656
2023-11,25.277312441776115
2023-12,25.42721027785824
2024-01,25.51246270929074
2024-02,25.683227976823648
2024-03,25.525309313885614
2024-04,25.64908406575757
2024-05,25.454869999779255
2024-06,25.464045934463172
2024-07,25.567912718995885
2024-08,25.666261322927795
2024-09,25.40982595807633
2024-10,25.62593753974507
2024-11,25.483650883924685
2024-12,25.611411576330248
2025-01,25.40654291659391
2025-02,25.624798973682804
2025-03,25.53565810972328
2025-04,25.611742753893772
2025-05,25.573853974379595
2025-06,25.91740327172663
2025-07,25.99628734704115
2025-08,25.860792845191686
2025-09,26.24891980776716
2025-10,25.965203011454815
2025-11,25.96164538356805
2025-12,26.023151604977137
